Ciudad,Nombre,Descripcion,Localidad / Comuna,Barrio,Zona,Lat,Lng,N° apartamentos,N° torres,Aptos por piso,Pisos por torre (según descripción),Fecha aprox. entrega,Precio desde (COP),Área construida desde (m²),Área privada desde (m²),Habitaciones,Baños,Espacio disponible (flexible),Espacio para segundo baño,Zonas comunes,Otras características,Recorrido 3D (360°),Presentación online (video),Brochure (PDF),Google Maps,Waze,Dirección proyecto,Sala de ventas,Horario sala de ventas,Correo,URL galias.com.co,Nota
Bogotá,Ronda de Verano,"Cuando vives en una ciudadela, le brindas confort y bienestar a tu familia sin salir de casa ¿Qué esperas para ser parte de esa experiencia? Las Galias te presenta su nuevo lanzamiento, Ronda de verano, un lugar donde vives el “todo incluido” desde tu nuevo hogar.
Nuestro proyecto cuenta con 5 torres, apartamentos con áreas desde de 41.21m2, opción de 2 habitaciones, 1 baños, 1 disponible y más de 10 zonas sociales donde disfrutas de un sinfín de actividades como un asado en familia en la zona bbq, una tarde de amigos en el salón de videojuegos, una tarde de Sauna con amigos y familia.
Ronda de verano tiene una ubicación estratégica, ya que se encuentra situada en la Avenida Ciudad de Cali al sur de la ciudad, permitiéndote constante movilidad y fácil acceso al transporte público de Bogotá.
El todo incluido es una realidad en tu vivienda propia. Sé parte de una experiencia que mejora la calidad de vida de los que más amas.",Bosa,Islandia,Sur,"4,614353","-74,192956",1420,5,,,2026,$234.878.000,"46,12","41,21",2,1,1,Si,"Parque Infantil, Bio Gimnasio, Triciclódromo, Piscina, Zona BBQ, Salón Social, Coworking, Gimnasio, Cancha Múltiple, Zona de Mascotas, Sauna y Turco","Parqueadero Comunal, Ascensor",,,https://galias.com.co/brochures/bogota/Brochure_Ronda-de-la-Verano.pdf,https://goo.gl/maps/f4daiQ32fGaQnzjC6,https://www.waze.com/live-map/directions/colombia/bogota/bogota/bosques-del-mediterraneo?navigate=yes&place=ChIJt_h4pQqfP44RpqJBhWuxmIo,Calle 69C Sur No 84 -50,Calle 69 Sur # 82A – 80,Lunes a Domingo 9:30 Am hasta 5:00Pm,bosquesdelmediterraneo@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/ronda-de-verano/,
Bogotá,Estacion Fontibon,"¿Si tu vida cambia, tu hogar también? Descúbrelo en el multiespacio
Cuando tu familia crece se requiere de más espacio en casa. Con Estación Fontibón ese espacio ya está incluido en tu nuevo hogar. ¡Solo tienes que adaptarlo! Las Galias te presenta un proyecto de apartamentos adaptables con áreas desde 41.65m2, 2 habitaciones, 1 disponible, 1 baños y más de 10 zonas sociales como Coworking, Piscina, Gimnasio TRX, Salón de Aeróbicos, 7.000 m2 de zonas verdes y senderos peatonales privados para que disfrutes a todo momento.
Hay miles de actividades para la diversión de tu familia desde casa. Además tienes acceso a todos los beneficios de la ciudad a un paso de nuestro proyecto.
Fontibón es un sector que está en crecimiento gracias al comercio e industria de la zona, lo que te permite acceder a vías principales como la Avenida Calle 13 y al transporte público de Bogotá.
Conoce Estación Fontibón y ábrele la puerta a un mundo de posibilidades que cambiarán tu vida.",Fontibón,Puente Grande,Occidente,"4,695008","-74,167581",1340,6,,,2026,$234.878.000,"45,95","41,65",2,1,1,Si,"Juegos Infantiles, Salón de Juegos, Cancha Múltiple, Piscina, Bio Gimnasio, Sauna y Turco, Salón Social, Zona BBQ, Zona de Mascotas, Gimnasio TRX, Coworking, Triciclódromo, Pista de Trote, Salón Lúdico",Parqueadero Comunal,,https://www.youtube.com/watch?v=XGDWU-qysUo,https://galias.com.co/brochures/bogota/Estaci%C3%B3n%20Fontib%C3%B3n.pdf,"https://www.google.com/maps/place/Sala+de+Ventas+Reserva+de+Fontib%C3%B3n/@4.681419,-74.156203,16z/data=!4m12!1m6!3m5!1s0x0:0xb42496950e40772b!2sSala+de+Ventas+Reserva+de+Fontib%C3%B3n!8m2!3d4.6814355!4d-74.1561742!3m4!1s0x0:0xb42496950e40772b!8m2!3d4.6814355!4d-74.1561742?hl=es-ES",https://www.waze.com/es/live-map/directions/colombia/bogota/bogota/ac-13-115-75?navigate=yes&to=place.ChIJLeTs4u6cP44Rkvc_N7Nr6y8&from=ll.4.710989%2C-74.072092,Av Calle 17 # 132-60,Diagonal 16 # 115 – 75,Lunes a Domingo 9:00 Am hasta 5:00Pm,estacionfontibon@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/estacion-fontibon/,
Bogotá,Moratti Ciudad Hayuelos,"Conoce Moratti Ciudad Hayuelos: Un Espacio Residencial Excepcional en Bogotá
Descubre la experiencia de vida única que te espera en Moratti, un proyecto residencial que redefine la forma de vivir en Bogotá. Compuesto por cuatro torres de hasta 20 pisos, Moratti fusiona diseño vanguardista y comodidades de primer nivel en una ubicación estratégica en el corazón de Fontibón.
Moratti no es solo un conjunto de viviendas; es un oasis de confort y modernidad. Con 1.080 unidades de vivienda que ofrece diferentes opciones para que se acomode a tus necesidades. Las zonas comunes son el alma del proyecto, con salones comunales, cancha, gimnasios y áreas verdes que crean un ambiente comunitario vibrante.
Explora las múltiples opciones de vivienda que ofrece Moratti y déjate cautivar por la visión de un hogar moderno y acogedor.
El hogar de tus sueños te espera en Ciudad Hayuelos. ¡Descubre Moratti y haz realidad tu sueño de un hogar propio.",Fontibón,Guadual Fontibón,Occidente,"4,667906","-74,141999",1080,4,,,2026,$252.919.000,"42,00","37,40",2,1,,Si,"Juegos Infantiles, Coworking, Pista de Trote, Piscina, Zona BBQ, Salón Social, Terraza Transitable, Gimnasio, Triciclódromo, Cancha Múltiple, Zona de Mascotas, Salón de Juegos","Parqueadero Comunal, Terraza Transitrable",,,https://galias.com.co/brochures/bogota/Brochure_Moratti.pdf,"https://maps.google.com/maps/dir//Foretti+Ciudad+Hayuelos+-+Sala+de+Ventas+Ac.+17+%2396b-2+a+96b-98+Bogot%C3%A1/@4.6654939,-74.1446472,16z/data=!4m5!4m4!1m0!1m2!1m1!1s0x8e3f9da980553fd9:0x767efd9a2b763145",https://www.waze.com/es/live-map/directions/colombia/bogota/bogota/ac-13-96b-45?navigate=yes&to=place.EiBBYyAxMyAjOTZiLTQ1LCBCb2dvdMOhLCBDb2xvbWJpYSJQEk4KNAoyCWFATvlgnD-OEfVABFNVSdFKGh4LEO7B7qEBGhQKEgkrVkD47Zw_jhGb69PVSq4sbAwQLSoUChIJ_9iNFPOcP44RRQ7zt8x57yY,Carrera 96C # 16H – 76,Av. Calle 13 # 96C – 80,Lunes a Domingo 9:30 Am hasta 5:30Pm,megaciudadelahayuelos@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/moratti-ciudad-hayuelos/,
Bogotá,Nexo 119,"Descubre Nexo 119: Donde Tus Sueños de Hogar se Hacen Realidad
Imagina despertar cada día en un espacio diseñado para tu crecimiento, tranquilidad y felicidad. En Nexo 119, te ofrecemos 1,086 apartamentos VIS dentro de un conjunto cerrado exclusivo en Fontibón, donde disfrutarás de:
Zonas verdes y áreas recreativas para compartir en familia.
Edificio comunal de lujo con piscina, gimnasio y salones sociales.
Seguridad 24/7 y entornos diseñados para tu bienestar.
Con financiación flexible y subsidios disponibles, ahora es el momento perfecto para asegurar tu hogar en un lugar moderno, seguro y lleno de comodidades.
¡No dejes pasar esta oportunidad! Agenda una visita hoy mismo y da el primer paso hacia el hogar que siempre soñaste.
¡Reserva ahora y comienza a escribir tu nueva historia!",Fontibón,El Chanco,Occidente,"4,683799","-74,157988",1086,5,,,2028,$266.399.000,"46,54","41,27",2,1,1,Si,"Cancha Múltiple, Juegos Infantiles, Piscina, Salón Social, Gimnasio, Bio Gimnasio, Triciclódromo, Zona BBQ, Sauna y Turco, Salón de Juegos, Coworking, Spinning Room, Zona de Mascotas, Terraza Transitable",Parqueadero Comunal,,https://www.youtube.com/watch?v=XGDWU-qysUo,https://galias.com.co/brochures/bogota/Brochure_Nexo_119.pdf,http://google.com/maps/d/u/0/viewer?mid=1m55uApM5vjR3RGPg_Rnql-_jj3U,https://www.waze.com/en/live-map/directions?to=ll.4.6814569%2C-74.15604115,Carrera 119 N° 15C – 54,Diagonal 16 # 115 – 75,Lunes a Domingo 9:00 Am hasta 5:00 Pm,nexo-119@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/nexo-119/,
Bogotá,Sabantti Ciudad Hayuelos,,Fontibón,Villemar,Occidente,"4,665924","-74,145572",,,,,,$213.525.000,,,,,,,,,,,,,,,,,,,"Ficha rota en galias.com.co (el listado de Bogotá enlaza a una página 404). Datos de la tarjeta del listado: ""En FONTIBÓN · Última Torre · Apartamentos Flexibles · PRECIO FIJO desde $213.525.000""."
Bogotá,Vertice 115,"Descubre Vértice 115 Fontibón: Tu Nuevo Hogar en Bogotá
Dale la bienvenida a una vida llena de confort y estilo en Vértice 115 Fontibón, tu nuevo hogar en Bogotá. Este innovador proyecto de Vivienda de Interés Social (VIS), situado en la Calle 17 N° 115-10, te ofrece 944 apartamentos modernos y bien diseñados en cuatro impresionantes torres. Aquí, cada día se convierte en una experiencia única gracias a nuestras áreas verdes, un edificio comunal con piscina, gimnasio y salones lúdicos, y un parque central con juegos infantiles y una zona para tus mascotas. Todo lo que necesitas para una vida extraordinaria está aquí.
Vértice 115 Fontibón no es solo un lugar para vivir, sino un espacio donde crear recuerdos y construir tu futuro. Ven y descubre tu nuevo hogar en el corazón de Bogotá, donde la modernidad y la comodidad se encuentran ¡Te esperamos!",Fontibón,Belen,Occidente,"4,682738","-74,154927",944,4,,,2027,$251.319.000,"46,54","41,27",2,1,1,Si,"Cancha Múltiple, Juegos Infantiles, Spinning Room, Zona BBQ, Triciclódromo, Zona de Mascotas, Salón de Juegos, Sauna y Turco, Salón Social, Coworking, Piscina, Zona de Fogata, Bio Gimnasio, Gimnasio, Terraza Transitable",Parqueadero Comunal,,https://www.youtube.com/watch?v=XGDWU-qysUo,https://galias.com.co/brochures/bogota/Brochure_Vertice_115.pdf,http://google.com/maps/d/u/0/viewer?mid=1m55uApM5vjR3RGPg_Rnql-_jj3U,https://www.waze.com/en/live-map/directions?to=ll.4.6814569%2C-74.15604115,Calle 17 # 115-10,Diagonal 16 # 115 – 75,Lunes a Domingo 9:00 Am hasta 5:00 Pm,vertice115@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/vertice-115/,
Bogotá,Terra Castilla,"¿El hogar de tus sueños tiene todo a tu alcance?
El lugar donde nace tu nuevo hogar está en Terra Castilla, nuevo proyecto tipo ciudadela con zonas sociales y ubicación en sector de alta valorización de la ciudad, a un paso de vías principales como la Avenida Américas, Avenida Ciudad de Cali y el Portal de Transmilenio Banderas
¡En tu propio apartamento vives a un paso de lo que te gusta! Desde un día de Shopping en el Centro comercial Tintal Plaza hasta una tarde soleada en el Parque Metropolitano Cayetano Cañizares. ¡Tienes todo a tu alcance! Incluso sin salir de casa, puedes disfrutar de nuevos momentos en familia en nuestras múltiples y modernas zonas comunes, lugares ideales para divertirse y salir de la rutina.
¿Estás listo para darle el SÍ al proyecto que cambiará tu vida y la de los que más amas? Tu oportunidad de vivienda VIS está en la Terra Castilla, un proyecto hecho por Las Galias. Aplican subsidios de vivienda..",Kennedy,Castilla,Occidente,"4,635321","-74,154108",1946,7,,,2026,$234.878.000,"42,00","36,84",2,1,,Si,"Parque Infantil, Salon de Juegos, 2 Cancha Sintéticas, Piscina, Bio Gimnasio, Sauna, Salón Social, Zona BBQ, Salón Lúdico, Gimnasio, Zona de Mascotas, Terraza Transitable, Minigolf, Triciclódomo, 2 Cancha Multiples, CoWorking, Sauna y Turco",Parqueadero Comunal,,,https://galias.com.co/brochures/bogota/Brochure_Terra_Castilla.pdf,"https://www.google.com/maps/place/Terra+Castilla/@4.6353589,-74.1562861,17z/data=!3m1!4b1!4m5!3m4!1s0x8e3f9d73ba6d3c79:0x331c9b582ef18152!8m2!3d4.6353589!4d-74.1540974?hl=es-ES&shorturl=1",https://www.waze.com/en/live-map/directions?to=ll.4.6356188%2C-74.15404558,Calle 5A # 80G – 58,Calle 5A # 80G – 58,Lunes a Domingo 9:30 Am hasta 5:30Pm,terracastilla@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/terra-castilla/,
Bogotá,Central 13-65,"Central 13-65 Tu Nuevo Centro de Vida en Bogotá
Descubre el proyecto VIS que transformará Puente Aranda. Central 13-65 es la nueva apuesta de Constructora Las Galias, diseñada para ofrecerte una calidad de vida excepcional en el sector con mayor proyección de la ciudad.
Conectado con todo lo que te importa
Ubicado estratégicamente sobre la Avenida Centenario (Calle 13), en Bogotá, tendrás acceso directo a las principales vías de la ciudad. Rodeado de comercio, servicios y rutas de transporte público, podrás decirle adiós al tráfico y dedicar más tiempo a lo que realmente importa.
Un estilo de vida superior, al alcance de tu bolsillo
Central 13-65 es mucho más que un conjunto residencial, es un verdadero «Club House» diseñado para el bienestar de toda tu familia. Con un diseño imponente de 3 torres de hasta 36 pisos y un total de 1.435 apartamentos, redefinimos el concepto de Vivienda de Interés Social.
Disfruta de espacios exclusivos que te mereces:
Piscinas: Área independiente para adultos y niños.
Gimnasio dotado: Olvídate de las membresías externas.
Zona de relajación: Sauna y baño turco para tu bienestar.
Terrazas con BBQ: El lugar perfecto para tus reuniones familiares con vista a la ciudad.
Salones comunales: Espacios modernos para tus eventos.
Zonas verdes: Áreas seguras para caminar y compartir al aire libre.
Diseño inteligente para tu familia
Nuestros apartamentos tipo VIS cuentan con 1 o 2 alcobas y distribuciones optimizadas que maximizan la entrada de luz natural. Áreas desde 39,75 m² construidos, pensados para que tu hogar sea un espacio cálido y acogedor.
Características clave de tu nuevo hogar:
Parqueaderos: Edificio exclusivo de parqueaderos con disponibilidad para residentes y visitantes, incluyendo zonas para bicicletas.
Inclusión: Contamos con unidades adaptadas para personas con movilidad reducida (PCD).
¡Proyecta tu vida en Central 13-65! Contáctanos ahora y reserva la oportunidad de vivir en el hogar que siempre has soñado.",Puente Aranda,Salazar Gómez,Occidente,"4,635135","-74,116029",1435,3,13-15,hasta 36 pisos,2029,$290.882.000,"39,75","33,45",1,1,1,,"Coworking, Salón Social, Cancha Múltiple, Zona Picnic, Salón de Niños, Sala Premium, Juegos Infantiles, Zonas Verdes, Piscina, Terraza BBQ, Zona Pet, Lobby, Sauna y Turco, Terraza Teppanyaki, Zona de Fogata, Gimnasio, Terraza Transitable, Zona de Descansó","Ascensor, Parqueadero Comunal, Parqueadero Visitantes, Locales Comerciales",Tipo A: https://my.matterport.com/show/?m=QVn8cvjQBJ2; Tipo C: https://my.matterport.com/show/?m=PXzkPfVd5YP,https://www.youtube.com/watch?v=XGDWU-qysUo,https://galias.com.co/brochures/bogota/Brochure_Central13-65.pdf,https://www.google.com/maps/d/embed?mid=1mEtbV7BKCpF63RuAxZZy8vtjYUBoUZQ&hl=es-419&ehbc=2E312F,https://ul.waze.com/ul?ll=4.63513466%2C-74.11602902&navigate=yes&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Calle 13 # 65-61,Calle 13 # 65-61,Lunes a Domingo 9:00 a.m. hasta 5:00 p.m.,central13-65@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/central_13-65/,
Bogotá,Vitália,"Vitália Carrera 50: Tu nuevo hogar en el corazón renovado de Bogotá
¿Buscas un apartamento VIS con excelente ubicación, diseño inteligente y que además sea una gran inversión? Vitália Carrera 50 es el proyecto que transforma Puente Aranda en tu nueva oportunidad de tener casa propia, con subsidios, accesibilidad y una calidad de vida que siempre soñaste.
Apartamentos Diseñados para tu Comodidad
1.172 apartamentos VIS en 3 torres modernas de 30 y 34 pisos.
Solo 11 a 13 apartamentos por piso, para mayor privacidad y exclusividad.
Áreas privadas desde 37.25m², con balcón en varios tipos y excelente iluminación.
Entrega con cocina equipada (estufa a gas + mesón en acero inoxidable), sanitarios y enchapes en baño.
Espacios comunes para disfrutar
Aquí no solo compras un apartamento, vives una experiencia completa:
Piscina para adultos y niños con terraza.
Gimnasio completo y cancha múltiple deportiva (doble altura).
Cancha de minipádel y zonas de coworking.
Salones comunales, lobby elegante y portería 24/7.
Zonas de juegos infantiles, BBQ y amplias áreas verdes sobre terrazas transitables.
Más del 30% del proyecto destinado a zonas verdes y recreación.
Parqueaderos comunales, bicicleteros y espacio para micromovilidad.
Una inversión con propósito
¡Vale la pena! Comprar en VITALIA no es solo tener un apartamento, es construir tu futuro:
Precio accesible con subsidios VIS del gobierno.
En una zona de renovación urbana con altísima valorización.
Perfecto para vivir en familia, invertir o generar renta con retorno seguro.
Proyecto en fases con entrega progresiva para que veas tu sueño hecho realidad pronto.
No es solo un apartamento, es tu espacio, tu tranquilidad, tu patrimonio ¡Vive el nuevo Bogotá desde lo más alto!",Puente Aranda,San Rafael Industrial,Occidente,"4,623952","-74,109747",1172,3,,,2028,$270.623.000,"43,10","37,25",1,1,1,Si,"Piscina, Cancha de Mini Pádel, Zona Biosaludable, Juegos Infantiles, Zonas Verdes, Zona de Lectura, Terraza transitable, Salón Social, Mesa de Ping Pong, Cancha Múltiple, Coworking, Zona Lounge, Terraza BBQ, Gimnasio, Lobby",Parqueadero Comunal,Recorrido 360: https://my.matterport.com/show/?m=rXiuAoLkaSs,https://www.youtube.com/watch?v=XGDWU-qysUo,https://galias.com.co/brochures/bogota/Brochure_Vitalia.pdf,http://google.com/maps/d/u/2/edit?mid=1H0NXcs0ajbEQkqg0UpE29E9dCt9QfRc&usp=sharing,https://www.waze.com/es/live-map/directions?to=ll.4.62403584%2C-74.10985351,Av Carrera 50 N° 5C – 81,Av Carrera 50 N° 5C – 81,Lunes a Domingo 9:00 Am hasta 5:00 Pm,vitalia@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/vitalia/,
Bogotá,Molinos Caracas,"¿Te gustaría vivir sobre una de las avenidas más importantes de la ciudad?
La calidad de vida mejora cuando tu nuevo hogar se rodea de aquello que es importante para ti. Descúbrelo en Molinos Caracas, último proyecto de la mega ciudadela Molinos de aptos VIS, ubicado a unos pocos minutos de la Estación de Transmilenio Molinos. Conformado por 3 torres multifamiliares, el proyecto cuenta con apartamentos desde 33.74 M2, con posibilidad de estudio y disponible, múltiples zonas sociales para disfrutar en familia: salón comunal, espacios verdes, parque infantil, sector de portería, bicicleteros. Su excelente ubicación permite tener acceso a vías principales de la ciudad como la Avenida Caracas, también a rutas de transporte público y sector comercial de la Localidad Rafael Uribe Uribe, un punto estratégico para gozar de un sector de alta valorización y desarrollo.
Te invitamos a conocer más acerca de los beneficios que te brinda esta oportunidad de vivienda VIS con Las Galias. Aplican subsidios.",Rafael Uribe Uribe,El Playón,Sur,"4,559014","-74,122184",656,3,,,2026,$237.013.000,"37,84","33,74",1,1,1,,"Gimnasio, Juegos Infantiles, Salón Social, Sauna y Turco, Cancha Sintética, Zona BBQ, Terraza Transitable, Bio Gimnasio, Salón Lúdico, Salón de Juegos, Salón de Aeróbicos, Gimnasio Semidotado","Parqueadero Comunal, Terraza Transitable, Sauna y Turco, Ascensor",,https://www.youtube.com/watch?v=2lvhf8WoGd4,https://galias.com.co/brochures/bogota/Brochure_Molinos_Caracas.pdf,https://maps.app.goo.gl/pQVeg4jQBcCKoFYz6,https://www.waze.com/es/live-map/directions/co/bogota/bogota/sala-de-ventas-portal-de-molinos-3?navigate=yes&to=place.ChIJvyGqvrKYP44RYV9735RLKdU,Calle 50A Sur # 10A-15,Carrera 10 # 51 Sur-50,Lunes a Domingo 9:30 Am hasta 5:30Pm,portaldemolinos@galias.com.co,https://galias.com.co/proyectos-en-venta/bogota/molinos-caracas/,
